Company,App,Manufacturer link,Main application,Scanner,OS
Sony,3DCreator,sony.com,Entertainment,RGB camera,Android
Standard Cyborg,Capture: 3D Scan Anything,standardcyborg.com,Entertainment,RGB camera,iOS
EyeCue,Qlone,qlone.pro,Entertainment,RGB camera,iOS+Android
SmartMobileVision,Scann3D,smartmobilevision.com,Entertainment,RGB camera,Android
IBV,3DAvatarBody,www.ibv.org,Fitness / Fashion,RGB camera,Android
3DLook,Mobile Tailor,3dlook.me,Fashion,RGB camera,-
,Your Fit,,Fashion,RGB camera,-
,Uniform Pro,,Fashion,RGB camera,-
QuantaCorp,Two Pictures 3D BODYSCAN,quantacorp.io,Fitness / Fashion,RGB camera,iOS+Android
Size Stream LLC,Mobile Scanner,www.sizestream.com,Fashion,RGB camera,iOS+Android*
,MeThreeSixty,,Fitness,RGB camera,iOS+Android
Fision AG,Meepl,meepl.com,Fashion,RGB camera,iOS+Android
NetVirta,NetVirta,netvirta.com,Fashion,-,-
SizeYou,SizeYou,sizeyou.it,Fashion,RGB camera,iOS+Android
Nettelo,Nettelo,nettelo.com,Fashion,RGB camera,Android
Xplorazzy Tech,3D Scanner Pro,xplorazzi.com,Entertainment,RGB camera,Android
BodyGee,BodyGee Coach App,bodygee.com,Fitness,RGB camera,Android
Scandy,Scandy Pro,scandy.co,Entertainment,LIDAR,iOS
Itseez3D Inc.,ItSeez3D,itseez3d.com,Entertainment,Occipital,iOS
TechMed3D,3DSizeMe,techmed3d.com,Entertainment,Occipital,iOS